(Do Not Modify) City,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Province,Created On
3fa71423-dea5-e611-80bb-00155d64ab22,TdVGlEyetAnJCwxp37oGEkGqcnVSoZ8/Ejxj4jtq6vMOIrnam74INf8NcyRFAAmqZRUVCenzXdPcTpWC2PAf0Q==,2017-09-14 21:18,Adairville,Kentucky,2017-09-14 15:18
0ab6ef31-dea5-e611-80bb-00155d64ab22,DwM0hA+jcaSeasNi961TC7BAAEpwCDXls6akIi7DGDibeZUJLeqcOAg2sjKq0yz9Xt0gKjG7ywpUX0l3Fr57pw==,2017-09-14 21:21,Adamant,Vermont,2017-09-14 15:21
6af12036-dca5-e611-80bb-00155d64ab22,4umNl1SIhYKtmehTFWbJxjF87kiYf3Lws+mADZAZzqSSKv6qNUjj3mtAlAeZaVggquBJldA+V0iAGnVBccsfLQ==,2017-09-14 21:15,Adams,Wisconsin,2017-09-14 14:33
2d7aac41-dca5-e611-80bb-00155d64ab22,qR/LgYj63h5hyvjgprGJRo9exQLQ9TUPNXQRNYoa9C/fcOavK2RGRD1/5Sct1BhJHdBqPJEzhJCAR3DjVwVr0g==,2017-09-14 21:05,Adams Run,South Carolina,2017-09-14 15:05
deee2036-dca5-e611-80bb-00155d64ab22,CUw78b1MsoNo+G7lKbgUg1kj5KfcZGXItO21dc2LlN0zkKRH1DgStsHLdDx4Fu34c4R0rXfWBIGcvWA7T8vDEA==,2017-09-14 20:59,Adamstown,Pennsylvania,2017-09-14 14:31
a44fdf2f-dca5-e611-80bb-00155d64ab22,NfTTUbbnRZhUnuYNG4aZKoq0XCeakQX8Q6Xbj7R86BAwmo5nC5WwhDYRrBWKnzbkmAzfSNOn0nVxyidPChOjVQ==,2017-09-14 21:07,Adamsville,Tennessee,2017-09-14 14:08
986fdf2f-dca5-e611-80bb-00155d64ab22,jhkNHBrr4Wx1ll33Bv1EBIv87kHP8oKQwKXUKV4rOl/vSytrIgVJX7uX9RBPNffPG9+TZhvLl52qKUwy3qeyeA==,2017-09-14 20:21,Addieville,Illinois,2017-09-14 14:21
26e92036-dca5-e611-80bb-00155d64ab22,rLNAloQ74HDXTgg+09Csaxy87jpr/Cuy+eOsvQhxkwBslQP2G7enZnbx6udlRDpIECFGAPZ3JmBW9GZ4YFBdTw==,2017-09-14 20:28,Addis,Louisiana,2017-09-14 14:28
a64fdf2f-dca5-e611-80bb-00155d64ab22,f5XY75Z3+GxvWJ5zvfrOOYrzlcPkC70+Bicf+MUp28zDQ1STwTPmVO9sFj0KBFJOVpSuPJQIEHFwRObfyLY0LA==,2017-09-14 21:08,Addison,Texas,2017-09-14 14:08
0054203b-dca5-e611-80bb-00155d64ab22,H2WDO92oY6NIolkXG/7jxduoqEqRAtPUpYBSymjywkDFJ6ka6c+1FUTQmRi1a5Az+CJqBf6u9nxaXi9yBqZZ5Q==,2017-09-14 20:50,Addyston,Ohio,2017-09-14 14:50
fc69df2f-dca5-e611-80bb-00155d64ab22,hUswsGQ+IL9OJcClfclAqEfniFND/aph7enhu8nRa9mVxximOCqAZ9hsimUeTr3M43e6AX6xwbc2w+ESVjE2mA==,2017-09-14 20:25,Adel,Iowa,2017-09-14 14:19
225bdf2f-dca5-e611-80bb-00155d64ab22,TY1Os2aPj/blKwbUc/RSYoYx+l8SP/f0V5yiAWJbLAdiSNfzARKwLjejeKmI0su0H2K/APcRlDyjvG4Vy6VzPw==,2017-09-14 20:13,Adelanto,California,2017-09-14 14:13
d03d203b-dca5-e611-80bb-00155d64ab22,Woth0Ic8KVFpm8jGlDin4uOVKXqyb6Yjl1rIIrokY3bgST/ZOLrr6bkYdqUvJvuu7jRE42v76BmxOUUbUIle1w==,2017-09-14 20:42,Adelphia,New Jersey,2017-09-14 14:42
0254203b-dca5-e611-80bb-00155d64ab22,fjBrB53AzuBiOoMO9UnSc8eWPdvnTow5IEaQXAn0ix5dnXp1WTvoFHou0N+rDSozjCDehz+FcI7OAHfgvJ9yBw==,2017-09-14 20:50,Adena,Ohio,2017-09-14 14:50
a84fdf2f-dca5-e611-80bb-00155d64ab22,D3Tj2LpujeFSn0pYWrx4A5Uj4FSP/I992RrK3wgOkTBJOVr2FDNXI5/ZD35Ln7SMtJUdRtdM0S89kfbkowhqlw==,2017-09-14 20:08,Adger,Alabama,2017-09-14 14:08
f980ac41-dca5-e611-80bb-00155d64ab22,rvKWPVuMsC4hvj7gfcTQVRB8nnCvVdl0aK97jwrcDY0ZdOb4mkxr/++sUhsy3O0DIfk1aEaVIAA7EeT9zavn4w==,2017-09-14 21:08,Adkins,Texas,2017-09-14 15:08
41a71423-dea5-e611-80bb-00155d64ab22,yP10rxQU2RczDPeBzUJcn/coyVXMuKeDWfPDqiw6ePdCgu+2i7t682+2Jm22uqJzZhLMeAhPmI9wwWySbJIyfQ==,2017-09-14 21:18,Adolphus,Kentucky,2017-09-14 15:18
da56df2f-dca5-e611-80bb-00155d64ab22,UrOQoDZj3XFRPARwzjt+OWDsQ5uL0EpTtKX9AwmlPcxwsLd/i9bRRDPO5tNWPmhhXZEGPdgGOwEHTF3g0TooJw==,2017-09-14 20:11,Adona,Arkansas,2017-09-14 14:11
fe69df2f-dca5-e611-80bb-00155d64ab22,T5H6ihav8kTw/Dn5KdjetI9oq7VF45F7BVfOFllDbIP/sbp4BiwaELjvfzF0Im+XoH4l8mS13ESgEsaNmlIQhw==,2017-09-14 21:22,Adrian,West Virginia,2017-09-14 14:19
2b73ac41-dca5-e611-80bb-00155d64ab22,9VU+p1H79ogxZBBo+/EvNf8JbAdwMXDQl43jABiY6MnO6wX+x2Pmi9s+VlKRq08bx+T3ZwoWfJldP5tr2J1wcQ==,2017-09-14 21:03,Adstock,Quebec,2017-09-14 15:03
7432203b-dca5-e611-80bb-00155d64ab22,zKf2nZhD5WYsrIDogtWbuOS+s5i122Vk2VGUkx83PFtJ1HtQlLvs0nGAVfL1ByYC0DciOEdelKw7HnU0IplRJQ==,2017-09-14 20:47,Advance,North Carolina,2017-09-14 14:38
6853df2f-dca5-e611-80bb-00155d64ab22,gNvRZkqDbS6T2vSFPVVsljvoL58ffR7Xcga3PZNwoE+Hgtuq55s9ovMwwlkgvVbox72+PNnkORfpc5cQciA4XA==,2017-09-14 20:10,Aetna,Alberta,2017-09-14 14:10
28dd2036-dca5-e611-80bb-00155d64ab22,xlqXUL8E9VzqHM8hLiH9rU0XWJm1LaF5iqqSQbo9Q5JOGFyed8c8ggv8evClkz1VWVZ+TXUKnegjagec8NSQ5A==,2017-09-14 21:17,Afton,Wyoming,2017-09-14 14:25
477cac41-dca5-e611-80bb-00155d64ab22,wxdcVHj24BklXFRLIShAi594f+SP3hfLyGrTeY7EXFNY85Arf8z2IOCBCdj8pUzCVZeTn/BLd/wBID5OOWpZeA==,2017-09-14 21:07,Agar,South Dakota,2017-09-14 15:07
3859df2f-dca5-e611-80bb-00155d64ab22,EFIGURtmUDnf5nRrzQmfPGnZSzARIJWwdo2JEGzEnY2dR9XoumqzepaJRyXNpcRABAQeDr8rKPVxNu0BR//DZA==,2017-09-14 20:12,Agassiz,British Columbia,2017-09-14 14:12
6cf12036-dca5-e611-80bb-00155d64ab22,Q2kF4NEPczcc4Td5jZhMMbNBuI/tjuZQsV/bDAlt8xv1oSeDgKDIETkxYf63XjZ3doLqbmyUrDI3h2+Gr4R2kg==,2017-09-14 20:32,Agawam,Massachusetts,2017-09-14 14:32
2add2036-dca5-e611-80bb-00155d64ab22,7ajD6y1bjlFINMRhjQjeJIqPJagjC3FNyywUkkt5rKl9GuhKv+fNszyALay2w3lzhjT/NcCvI6dkcbhBnDRqsQ==,2017-09-14 20:39,Agency,Missouri,2017-09-14 14:25
2959defb-1c34-e911-a979-000d3af43d1a,b8GfG3g1JqkUFimZROuj24d/F9W+LWsp0d1m0GcLxY4Ar1rWsSWmBcgUXjGMxvn+2THKURgJ4WbbETK3R1vSBg==,2019-02-19 8:04,Aggeneys,Northern Cape,2019-02-19 1:04
4762ac41-dca5-e611-80bb-00155d64ab22,e2shgg4uwai1zrmq3fVZZvnVDQVcGIey7GXV2AA4IemLtdzVtxpnvmGh1QyLymG3HzlzSio2hTpmlg3bOAiCGw==,2017-09-14 20:56,Agincourt,Ontario,2017-09-14 14:56
245bdf2f-dca5-e611-80bb-00155d64ab22,xJijfsc30Ch9/rXgUVJ8GBJErwy0hGblujigZRtmprmeP+LgiJZaLsg/kDFPipvD545g83qurFPtMNo4gXfY2g==,2017-09-14 20:13,Agoura Hills,California,2017-09-14 14:13
715fac41-dca5-e611-80bb-00155d64ab22,qvbKsNfuVQ1hMdg5J5v4KNDTnrAUAHwjkJabBnpHDzMKFycBQN6CnwB9Wc4CcGPg5jIscHWeNAaWLBzKdnEsYw==,2017-09-14 20:53,Agra,Oklahoma,2017-09-14 14:53
265bdf2f-dca5-e611-80bb-00155d64ab22,jqc0SLI7jvQLdRrGT/8j2sv4OrVmI3UswSazlGlaLVQVYFYr5cfhhdo/lNqb3xE26pO8H5YUfguXPUKCKgGNhg==,2017-09-14 20:13,Aguanga,California,2017-09-14 14:13
6055df2f-dca5-e611-80bb-00155d64ab22,lUnjdBf4Txkekw315YXw+GyQeWwzFf1WHVsvpoEo+M6SaO5D3e9EXay7A+TZYhgyZQ28LdbbZdIFjd9y9xOkRg==,2017-09-14 20:11,Aguila,Arizona,2017-09-14 14:11
824c203b-dca5-e611-80bb-00155d64ab22,+wpF7eorNt3m4b1wT2spzAGuth9/Yu4GfavbNQfHVfzSMcW8tQs0TrcA3NP8ZEGQzugSyrkCdSb6sxk0C1ApSQ==,2017-09-14 20:47,Ahoskie,North Carolina,2017-09-14 14:47
2d73ac41-dca5-e611-80bb-00155d64ab22,ZL76kYJtbCF/TyiRelUhvz1uXPAFdhmF86Y/FRig1kwPU5Ur4eOrgg3IewSoKywBBJ3SO7QSk+RRSq4vGjrPeA==,2017-09-14 21:03,Ahuntsic,Quebec,2017-09-14 15:03
285bdf2f-dca5-e611-80bb-00155d64ab22,xj8jGyFM9IYKAM35vtmlrfcyUnp9Z9YeNkGWyn9IOaPTuRRi1sPfvAubZYF7NGfm52bb85ud/isTHnwE+cLWVA==,2017-09-14 20:13,Ahwahnee,California,2017-09-14 14:13
10365122-dea5-e611-80bb-00155d64ab22,8Mq6oKuUEnq2JGiVbiHq03ID8bSzwIaKdfzRN+ye4mRwKxKEyv7qnDTrXUqAEDy6vjPSS9nIs95ilo4HnckybQ==,2017-09-14 21:18,'Aiea,Hawaii,2017-09-14 15:18
2f7aac41-dca5-e611-80bb-00155d64ab22,JqFZMLAFA+wHyvP1z3YZ/wjueDltuKaFIuM3PUWMFBDAgXhuWEs3YuOHB/eAab98JAYbiPOjLSfMhA4L5m55Zw==,2017-09-14 21:05,Aiken,South Carolina,2017-09-14 15:05
006adf2f-dca5-e611-80bb-00155d64ab22,DkYpdqqo4JdVQWVWkeJtNm3WXPnf4ndahg3b20HJBGPf7DDvdJwpcrnoG2Ip+doMnufO9rH+hQ/XWJCONVEkvw==,2017-09-14 20:19,Ailey,Georgia,2017-09-14 14:19
4962ac41-dca5-e611-80bb-00155d64ab22,0UpSK4w6ibylR9EaM2nKObmqGubhnZwwhZc4kQgDJqYL7gONfzixpC/hfoB1jDcablGoG8uqLt32+S0ckHI4aA==,2017-09-14 20:55,Ailsa Craig,Ontario,2017-09-14 14:55
1038203b-dca5-e611-80bb-00155d64ab22,afy3TmisK7amsa4U/sp48l6ys6fg7/+TPvKOSgHNXPEZ3SlM9Ce1PsiR6zZlu5Ac8mdL9Y5H0kOfTZYxgOvbEA==,2017-09-14 20:40,Ainsworth,Nebraska,2017-09-14 14:40
8a62df2f-dca5-e611-80bb-00155d64ab22,wqaE17tBrZBBdCDcm60J+gPDzJxsZ9pZskkzRMRaWvQg5PJUE4UfkocD8oCJScIqoNw/4hyR+b66PQF+BOa2Dg==,2017-09-14 20:16,Air Force Academy,Colorado,2017-09-14 14:16
a378ac41-dca5-e611-80bb-00155d64ab22,ocMjv+yAcfe+Ke+XSS3Z4l9HeWcHa/NvAbl+Q+kxUPsapvWFzUiRJXCFiS3gahN5vO2etPDKwQy5WTMCCPY9Tg==,2017-09-14 21:06,Air Ronge,Saskatchewan,2017-09-14 15:06
6a53df2f-dca5-e611-80bb-00155d64ab22,rU8Ep0zj/NvoojWPE+egUNjTRj/wNZc/QQ7QRLXWpr7Jt2OBYmwmDCqaCySAACm1bTAB9wCLMKDMtjpU4N85KQ==,2017-09-14 20:10,Airdrie,Alberta,2017-09-14 14:10
1d69ac41-dca5-e611-80bb-00155d64ab22,CYKglTlKRoPZp1w+LM203GsJ/t/m7i+UfZLJh/8fKVbzRkRYwFUIJ3An+pL17AIkCLIlT2lWXJBAGexan7WY5Q==,2017-09-14 21:00,Airville,Pennsylvania,2017-09-14 15:00
58028c46-dca5-e611-80bb-00155d64ab22,fTIzSNARzFr1yFampoQpiEq70tn1L0WVuDgxuxaZQx1vaeaX9r1mwnTpd1w78Z3ztGUqp+j9kPYOaluxr4silw==,2017-09-14 21:15,Airway Heights,Washington,2017-09-14 15:15
6efa2036-dca5-e611-80bb-00155d64ab22,LKmF7TvE9RN4nNgwcq3fD7yDDXTrYcNBgulL3/xTao9Gis3HSz8MJPqEzqHtuHHnqs0IuCOuAtkNkeNzRbBSzw==,2017-09-14 20:36,Aitkin,Minnesota,2017-09-14 14:36
4b62ac41-dca5-e611-80bb-00155d64ab22,tBAoRUQwvOKzXTQDv7ZNvAXErFbvnNAi2O8D7vAO4uHk4xVIN7zjdw3NEh1wz8Di+UCUxBR+oQkJ9EcX7DgMWg==,2017-09-14 20:55,Ajax,Ontario,2017-09-14 14:55
6255df2f-dca5-e611-80bb-00155d64ab22,0jYkOx9iriAaJYwVWoRku0cesTC1XbkOUeJTWqoezvIsD9w9IcKVKgZ6iIaybpoiWzX0PNuIdkbBYGvsyK0iVw==,2017-09-14 20:11,Ajo,Arizona,2017-09-14 14:11
70fa2036-dca5-e611-80bb-00155d64ab22,o/YewNmg0bM3+AFT7L+PQAlmM6U/Au+NMVXdHTPvBXpvbKDZXxHCHoc5tfqRHGSI4F+MnnoJaG0nb9ViPG6PYQ==,2017-09-14 20:37,Akeley,Minnesota,2017-09-14 14:37
a052df2f-dca5-e611-80bb-00155d64ab22,Z53Z/WzH1vYbnNglA3aJKYE55eWzMaUj3Og8ovgT21eWp14TBbHe5XT99FgZ6vmQU6O/QGkPtILwT+Y8HhioFQ==,2017-09-14 20:10,Akhiok,Alaska,2017-09-14 14:10
3ad92036-dca5-e611-80bb-00155d64ab22,nCqcO2VWVcLCQJpwg1b7/cTGnxOAEdvGgEL/SiUJgje3S/ogJB2haQ+EUmC3dQb87st/JLksCA42QJDmFEJ0rg==,2017-09-14 20:59,Akron,Pennsylvania,2017-09-14 14:24
aa4fdf2f-dca5-e611-80bb-00155d64ab22,mc1Xi6xeimPoLMR4y05MKtFD9EWO4o4lT12IqIpZgmPBsEbeuNv57fxBujewlRF9r9WbIDFcFysvyk1T/qAA5A==,2017-09-14 20:08,Alabaster,Alabama,2017-09-14 14:08
